;HEIGHT_ABOVE_NN;NATIONAL_ID;WMO_ID;LATITUDE;LONGITUDE;STATION_NAME;REGION
0;98;1387E;08002;43.825;8.219;A CORUÑA AEROPUERTO;A CORUÑA
1;58;1387;08001;43.157;8.517;A CORUÑA;A CORUÑA
2;50;1393;08006;43.938;9.239;CABO VILAN;A CORUÑA
3;80;1351;08004;43.71;7.105;ESTACA DE BARES;A CORUÑA
4;230;1400;08040;42.529;9.729;FISTERRA;A CORUÑA
5;685;1437O;08043;42.314;8.524;MONTE IROITE;A CORUÑA
6;100;1473A;08039;42.418;8.738;PADRÓN;A CORUÑA
7;370;1428;08042;42.317;8.438;SANTIAGO DE COMPOSTELA AEROPUERTO;A CORUÑA
8;240;1475X;08041;42.234;8.321;SANTIAGO DE COMPOSTELA;A CORUÑA
9;702;8175;08280;38.715;1.123;ALBACETE BASE AÉREA;ALBACETE
10;674;8178D;08279;39.02;1.144;ALBACETE;ALBACETE
11;880;8177A;08278;38.609;1.936;CHINCHILLA;ALBACETE
12;605;7096B;08355;38.231;1.211;HELLÍN;ALBACETE
13;81;8025;08359;38.221;0.939;ALICANTE/ALACANT;ALICANTE
14;43;8019;08360;38.658;0.415;ALICANTE-ELCHE AEROPUERTO;ALICANTE
15;15;8050X;08370;38.701;0.004;JÁVEA/ XÀBIA;ALICANTE
16;575;7247X;08357;38.359;1.217;PINOSO ;ALICANTE
17;885;6302A;08427;37.829;2.647;ABLA;ALMERIA
18;8;6277B;08486;36.45;3.114;ADRA;ALMERIA
19;15;6381;08490;35.618;3.21;ALBORÁN;ALMERIA
20;21;6325O;08487;36.047;2.125;ALMERÍA AEROPUERTO;ALMERIA
21;7;6297;;36.952;2.72;ALMERÍA;ALMERIA
22;16;6332X;08488;36.849;1.413;CARBONERAS;ALMERIA
23;300;6367B;08428;37.326;1.637;HUERCAL OVERA;ALMERIA
24;3;6293X;08492;36.113;2.206;ROQUETAS DE MAR;ALMERIA
25;513;9091O;08080;42.255;2.406;FORONDA-TXOKIZA;ARABA/ALAVA
26;521;9087;;42.059;2.922;VITORIA AERÓDROMO;ARABA/ALAVA
27;513;9091R;08080;42.219;2.359;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA
28;127;1212E;08011;43.401;6.239;ASTURIAS AEROPUERTO;ASTURIAS
29;60;1283U;08010;43.409;6.812;CABO BUSTO;ASTURIAS
30;100;1210X;08012;43.921;5.055;CABO PEÑAS;ASTURIAS
31;40;1331A;08009;43.129;7.153;CASTROPOL;ASTURIAS
32;26;1207U;08014;43.123;5.716;GIJÓN, CAMPUS;ASTURIAS
33;22;1208A;;43.23;5.943;GIJÓN. LA MERCED;ASTURIAS
34;5;1208H;08014;43.336;5.203;GIJÓN, PUERTO;ASTURIAS
35;3;1208;;43.22;5.815;GIJÓN;ASTURIAS
36;10;1183X;08016;43.513;4.453;LLANES;ASTURIAS
37;336;1249I;08015;43.112;5.227;OVIEDO;ASTURIAS
38;336;1249X;08015;43.112;5.227;OVIEDO;ASTURIAS
39;1530;1542;08052;42.939;6.451;PUERTO DE LEITARIEGOS;ASTURIAS
40;1480;1221D;08031;42.843;5.635;PUERTO DE PAJARES;ASTURIAS
41;1143;2444C;;40.924;4.201;ÁVILA, AYUNTAMIENTO;AVILA
42;1130;2444;08210;40.933;4.048;ÁVILA;AVILA
43;1525;2811A;08206;40.102;5.835;NAVARREDONDA DE GREDOS;AVILA
44;630;3391;08208;40.719;4.527;SOTILLO DE LA ADRADA;AVILA
45;185;4452;08330;38.3;6.85;BADAJOZ AEROPUERTO;BADAJOZ
46;273;4358X;08333;38.72;5.25;DON BENITO;BADAJOZ
47;447;4244X;08264;39.01;5.344;HERRERA DEL DUQUE;BADAJOZ
48;381;4511C;08337;38.755;6.554;JEREZ DE LOS CABALLEROS;BADAJOZ
49;655;4386B;08336;38.354;6.101;LLERENA;BADAJOZ
50;228;4410X;08331;38.457;6.308;MÉRIDA;BADAJOZ
51;74;0252D;08186;41.515;2.224;ARENYS DE MAR;BARCELONA
52;4;0076;08181;41.734;2.412;BARCELONA AEROPUERTO;BARCELONA
53;408;0200E;;41.506;2.727;BARCELONA, FABRA;BARCELONA
54;6;0201D;08180;41.326;2.2;BARCELONA;BARCELONA
55;291;0149X;08174;41.312;1.025;MANRESA;BARCELONA
56;146;0229I;08192;41.125;2.611;SABADELL AEROPUERTO;BARCELONA
57;40;0255B;08188;41.903;2.149;SANTA SUSANNA;BARCELONA
58;42;1082;08025;43.753;2.423;BILBAO AEROPUERTO;BIZKAIA
59;208;1078I;08035;43.212;3.617;GÜEÑES;BIZKAIA
60;12;1055B;08024;43.237;2.037;LEKEITIO;BIZKAIA
61;93;1057B;;43.714;2.51;MACHICHACO;BIZKAIA
62;90;1059X;08059;43.23;3.118;PUNTA GALEA;BIZKAIA
63;790;2117D;08144;41.957;3.434;ARANDA DE DUERO;BURGOS
64;820;9111;08077;42.516;3.013;BELORADO;BURGOS
65;891;2331;08075;42.125;3.713;BURGOS AEROPUERTO;BURGOS
66;580;9051;08063;42.512;3.858;MEDINA DE POMAR;BURGOS
67;1080;2298;08149;41.735;3.754;PALACIOS DE LA SIERRA;BURGOS
68;459;3469;;39.833;6.235;CÁCERES, CIUDAD;CACERES
69;394;3469A;08261;39.817;6.02;CÁCERES;CACERES
70;313;3526X;08251;40.013;6.327;CORIA;CACERES
71;269;3434X;08254;39.645;5.457;NAVALMORAL DE LA MATA;CACERES
72;415;3519X;08252;40.235;6.509;PLASENCIA;CACERES
73;503;3463X;08263;39.857;5.115;TRUJILLO;CACERES
74;444;3576X;08260;39.453;7.352;VALENCIA DE ALCÁNTARA;CACERES
75;2;5973;08452;36.959;6.528;CÁDIZ;CADIZ
